,author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count,filename
0,1416049047102709763,Raelsworld1,1185,5759,IT'S TIME FOR PLAN #ALGO .... @fractitous #ReallyRichFlamingo  @GO0N_SQUAD #goonsquad  @HigherApeCircle #HAC ...  join da #algofam,SIRIUS  XRP12 ,b'...now we re talkin... @lkinc_algo  is changin da shuffle mode... my advice  grab you one of the first 1000... (appr.  70+ to mint)  and you ll get the chance to mint some for 1ALGO.... STEAL DEAL rite #algofam #lkinc #AlgorandNFTs #Algorand https://t.co/3okanZb41f',2022-07-06 20:19:53+00:00,1,0,1,0,genadroptweets_1_AlgorandNFTs_2.csv
1,1421424500458016772,RogerMa95197435,888,4750,"DISCORD NAME: HeadHoncho#0029

A regular guy trying to learn & invest in crypto. No huge bags of crypto here.
NEW PROJECT ON ALGO : Brutal Fruit 
Link below",#CNFTs #AlgoNFTs,b'I reckon this fella would give anyone a decent match at #Wimbledon. But which of the 4 male semi finalists do you think he is most like?https://t.co/qDsEoRDCZL#AlgoNFTS #AlgorandNFTS #AlgoFam #Algorand https://t.co/93CJZ9ZgKa',2022-07-06 20:01:35+00:00,0,0,0,0,genadroptweets_1_AlgorandNFTs_2.csv
2,884061924132106241,K999_algo,485,2197,"It's me K999 / $algo / #algofam                              
Discord: K999#6749 / k999wallet.algo 🇨🇵",FleshManGang,b'Which Fleshman from my collection is your favorite ? : @FleshmanGang  : https://t.co/Vcp1XOSsGp#algofam #algo #algorand #algoNFT #AlgorandNFTs https://t.co/Ul4K6867rB',2022-07-06 19:15:45+00:00,1,1,3,1,genadroptweets_1_AlgorandNFTs_2.csv
3,769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b'Grabbed it of Secondary Last Night ""Fly Solo"" @collection_moo. #WONDERLAND #algofam #Algorand #AlgorandNFTs  #NFTs #nftart #NFTCommunity https://t.co/G73Nxr8tly'",2022-07-06 19:15:12+00:00,1,1,9,5,genadroptweets_1_AlgorandNFTs_2.csv
4,769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b'Straight Fuego  Every Drop, Primary Grab @collection_moo. #algofam #AlgorandNFTs #Algorand #MooLanders #MooNation #AlgorandNFTs  #nftart #NFTCommunity . https://t.co/74HtjaIh7M'",2022-07-06 19:06:25+00:00,1,1,6,4,genadroptweets_1_AlgorandNFTs_2.csv
5,769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida",b'Stunned I was able to grab the Collaboration one on primary last night/morning to others. @collection_moo @tornado_ilus #MooLand #MooNation #algofam #AlgorandNFTs #NFTCommunity #NFTCollection #nftart https://t.co/tSzKFRylc6',2022-07-06 18:58:37+00:00,3,4,8,3,genadroptweets_1_AlgorandNFTs_2.csv
6,1463982986278359043,Rick13Discord,1277,6229,Super Dad by day 💪…Crypto/NFT enthusiast by night 📈Bam!Bang Ambassador 🐘 Pyrenees Pack Ambassador 🐺,"Omaha, NE",b'#weirdowednesday #AlgorandNFTs #WeirdoFam #algofam Olivia and I are def Weirdos  https://t.co/VgaMaYnRX4 https://t.co/KCGMOwiTIC',2022-07-06 18:31:37+00:00,0,1,4,0,genadroptweets_1_AlgorandNFTs_2.csv
7,1262032918085603329,cryptopeye,1453,2472,"#DigitalArtist on the #Algorand Blockchain

https://t.co/qjF0wSd9pm

cryptopeye.algo",,"b'JUMP #02 #NFTart sold today, congratulations to the new owner :)#Algorand #AlgorandNFTs #NFT #NFTCommunity https://t.co/IwL5Dfq5d5'",2022-07-06 18:17:24+00:00,2,0,6,6,genadroptweets_1_AlgorandNFTs_2.csv
8,1515091341876805636,HawkLandnft,425,59,Hawk Land NFT | #Algofam #algo #algorand #AlgoNFT | E&E,United states,"b'Hello #algofam are you there? We are coming, be at your place.Coming soon...Link: https://t.co/Ql4EX8MQBE#algofam #algorand #ALGO #ALGONFT #AlgorandNFTs #AlgoNFTs #algofams #nftart #NFT #NFTs #NFTartist #NFTProject #HAWK https://t.co/nVc4Turxz3'",2022-07-06 17:58:32+00:00,1,0,1,4,genadroptweets_1_AlgorandNFTs_2.csv
9,1460334807058194441,AlgoStarface,2523,1379,"Ⱥlgo Starface is a creation that interconnects our passion for NFT, social human interactions and environmental awareness.

300 1/1 NFTs on #ALGO 

$ALGO",Algorand,b'+ also a @AOWLs_HootGang #2941 in the public channel for everyone!Join our discord to participate!#algofam #AlgorandNFTs #AlgoNFT https://t.co/GseO0gGQQt',2022-07-06 17:50:48+00:00,0,2,6,0,genadroptweets_1_AlgorandNFTs_2.csv
10,884061924132106241,K999_algo,485,2197,"It's me K999 / $algo / #algofam                              
Discord: K999#6749 / k999wallet.algo 🇨🇵",FleshManGang,"b'I posted new direct sales on @ALGOxNFT, come see There are different collections If you want an exchange, contact me!  Link: https://t.co/qpYRJFqARz #algofam #algo #algorand #NFTs #AlgorandNFTs https://t.co/kfj5UMTSTu'",2022-07-06 17:30:26+00:00,2,0,4,2,genadroptweets_1_AlgorandNFTs_2.csv
11,1531085644700655617,IndoorSugar,319,946,"Physicist in the making. NFT Collector, Crypto & Web3 Geek #DazedDucks #CyberPharmacy #Cynova #GekoFam #CrazyGooseFlock $Solana $Algo",Earth ,b'This doesnt happen on @Algorand (: opting into assets before receiving them really eliminates the scam NFTs from entering your wallet. One of the many things I like about #AlgorandNFTs https://t.co/3bO8gfWKJh',2022-07-06 17:22:36+00:00,0,0,2,0,genadroptweets_1_AlgorandNFTs_2.csv
12,1531085644700655617,IndoorSugar,319,946,"Physicist in the making. NFT Collector, Crypto & Web3 Geek #DazedDucks #CyberPharmacy #Cynova #GekoFam #CrazyGooseFlock $Solana $Algo",Earth ,b'@0xskellymode @phantom $Algo doesnt have this problem because you need to opt into an asset before receiving them. One of the many things I like about #AlgorandNFTs #AlgoFam',2022-07-06 17:21:04+00:00,0,1,1,0,genadroptweets_1_AlgorandNFTs_2.csv
13,769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b'Sweet I was just gifted ""Devil Dog Ryu"" @madcapstudio  #algofam #Algorand #AlgorandNFTs #AlgorandNFT https://t.co/v0NA11LNVq'",2022-07-06 16:43:14+00:00,0,0,2,1,genadroptweets_1_AlgorandNFTs_2.csv
14,1463002334796009472,ScratchEngine,12629,842,We’re making history as the very first NFT evaluator tool — Scratch Engine — that cross-references data from multiple sites and can provide real-time valuation.,,"b""#Algorand + #NFTs = #greatness We're big fans at #ScratchEngine of #AlgorandNFTs! Awesome choice  https://t.co/fPdGSWeuVL""",2022-07-06 16:08:50+00:00,3,4,3,1,genadroptweets_1_AlgorandNFTs_2.csv
15,1432488366608617476,madcapstudio,1424,3463,✨GRAPHIC DESIGNER & ILLUSTRATOR ✨ SOL/XTZ/ALGO https://t.co/s6bej5XfZI,"São Paulo, Brasil","b""''FUNNY DOGS''NEW DROP 5 NEW CHARACTERS in @_Dartroom link:https://t.co/7stoAWLWjf@AlgorandBrasil #NFT #NFTdrop #AlgoNFTs #pfps #AlgorandNFTs https://t.co/cZgsHCLvoZ""",2022-07-06 15:55:55+00:00,2,0,5,1,genadroptweets_1_AlgorandNFTs_2.csv
16,15856828,Kryptide4062,30,231,"Founder of Blackwatch Brotherhood and The XurLoot XurTracker.
Co-Founder and Web Designer for The Ex Nihilo Art Project
https://t.co/T4Lx8DZHMC // https://t.co/dUXLva95EI",,b'Grim Kids Shuffle just went live!https://t.co/QlYHG43UVtnftxplorer verified collection:https://t.co/sEd8e1vAR9 #ALGO #AlgorandNFTs #SHUFFLE #NFT',2022-07-06 15:52:35+00:00,0,0,2,1,genadroptweets_1_AlgorandNFTs_2.csv
17,1465384920444858369,ennarion,2941,5600,"💎🖐 $Algorand-Exclusive, Influencer 💌🤠😎NFT-Collector, Critic & Friend ✌🏻 💞 Peace and Blessings All 🌈 #AlgoFam #Algorand #AlgoNFTs #NFTs🌎","California, USA",b'Some of my personal favorites from my #AlgoNFT collection :)Peace and many Blessings #AlgoFam #Algorand #AlgorandNFTs  https://t.co/9ZGoCNCaxu',2022-07-06 15:32:25+00:00,0,1,4,0,genadroptweets_1_AlgorandNFTs_2.csv
18,1486825643497058304,AlgolemNFTs,1822,9950,Algolem is Legendary Golem who protect #Algofam. 1/1 Hand drawn collectibles (92/404). 20% sales for help other #Algofam project. Our link here 👇🏻,Indonesia,"b""Next collaboration #SneakPeek If you know, I don't know #algofam #ALGO #AlgoNFTs #AlgoNFT #AlgorandNFTs #AlgorandNFT https://t.co/XpK1YKSx2l""",2022-07-06 15:30:04+00:00,6,2,12,0,genadroptweets_1_AlgorandNFTs_2.csv
19,1538926998235537415,TrokVerse,216,72,"Come and be part of TrokVerse. A PFP (Profile Picture) collection. $algo 🍄

https://t.co/H1rA2GHwo7 By @TrokVictor",Brasil,b'   10 Characters (#101 - #110). @_Dartroomhttps://t.co/tckoUM6JyF The first holders of these characters are entitled to a free NFT banner for Twitter.$algo #algofam #algorand #algonft #algonfts #algorandnfts https://t.co/ly7r5J4Drm',2022-07-06 15:05:16+00:00,12,1,21,1,genadroptweets_1_AlgorandNFTs_2.csv
20,53672500,eyouelexchange,997,6858,"Jesus Christ is my Lord and Savior. Best NEWS source for #CRYPTO, #STOCKS, #FOREX 📊 Subscribe to my youtube channel below #xrp NOT Financial Advice",United States,b'Napster To Launch Token On Algorandhttps://t.co/X7528bmauJ#Algorand #AlgorandNFTs #napster #cryptocurrencies #Crypto #CryptoNews #ISO20022',2022-07-06 14:56:17+00:00,0,1,0,0,genadroptweets_1_AlgorandNFTs_2.csv
21,53672500,eyouelexchange,997,6858,"Jesus Christ is my Lord and Savior. Best NEWS source for #CRYPTO, #STOCKS, #FOREX 📊 Subscribe to my youtube channel below #xrp NOT Financial Advice",United States,b'Algorand pioneers state proofs- Heres what investors can expect from ALGOhttps://t.co/GyDV3hWUfm#Algorand #AlgorandNFTs #napster #cryptocurrencies #Crypto #CryptoNews #ISO20022',2022-07-06 14:55:52+00:00,0,0,0,0,genadroptweets_1_AlgorandNFTs_2.csv
22,1494607094020194306,aranemiku,330,457,"The Winner of Most Horror and Most Fear Filled #fear4tez 2022 White Ribbon - I do DIGITAL ART and FANART
Join My Discord Community and get more Giveaways 👇🏻",indonesian,"b'Neon Killer 00255 Algo (1/1) #1of1 @_Dartroom A gay man with maid cosplay costume holds a knife which means ""Kill those who get in my way"".https://t.co/A7SFZtn6rw#dartroom #AlgoNFT #algofam #AlgorandNFTs #NFTCollection #NFTCollector #NFTartist #neon #maid #cosplay #killers https://t.co/PY64FguZ8I'",2022-07-06 14:38:56+00:00,2,0,11,0,genadroptweets_1_AlgorandNFTs_2.csv
23,1469530363395710980,airforcetuanNFT,605,7795,"NFT anime artist, creator of @80sBabyNFT: https://t.co/tL0Ycn0KD0

My usual account @airforcetuan | Artist in 🇯🇵 |",Tokyo,"b'For an unknown reason, I just want MAHO aka @80sBabyNFT #019 to find a new home  425 $ALGO@RandGallery https://t.co/0C1vWovIJa#algofam #algonft #algonfts #Algorand #AlgorandNFTs https://t.co/8hd9S63agY'",2022-07-06 13:46:50+00:00,2,0,4,0,genadroptweets_1_AlgorandNFTs_2.csv
24,884061924132106241,K999_algo,485,2197,"It's me K999 / $algo / #algofam                              
Discord: K999#6749 / k999wallet.algo 🇨🇵",FleshManGang,b'Share some NFT you like and tag the creator ! #algofam #algo #algorand #AlgorandNFTs',2022-07-06 13:44:43+00:00,2,0,5,0,genadroptweets_1_AlgorandNFTs_2.csv
25,1497995907312275459,FlippinBirdsNFT,1396,6269,"Flipping Birds #NFTs

WE GOT SOMETHING FRESH & TASTY FOR YOU!  100% Community/DAO ALGORAND NFT Project. STAKING NOW LIVE!! https://t.co/AIm2dnr23C","Brickell, Miami, Florida",b'UPDATE: holders we bumped up the $royal rewards today. Its now an estimated 74 $royal tokens per DAY per #nft staked on https://t.co/YTi6cyhUIE wow!! lfg!! we need more @RoyalToken_Algo in our community wallet!! #algofam #AlgorandNFTs https://t.co/wnTXa0NS7Q',2022-07-06 13:42:45+00:00,5,1,10,0,genadroptweets_1_AlgorandNFTs_2.csv
26,769695160036790272,Madmax17g,171,739,$ALGO $HDL,"Miami, Florida","b""Amazed with the last couple of Moo's drops@collection_moo .#NewProfilePic #algofam #AlgorandNFTs #Algorand #NFTCommunity #NFTCollection #nftart #MooLand #MooNation https://t.co/CYL6AHVySy""",2022-07-06 13:34:18+00:00,1,1,6,3,genadroptweets_1_AlgorandNFTs_2.csv
27,1468313663366909966,Monkeys101582,954,2603,https://t.co/z6ES0WVw4q…,,b'#algofam #Algorand  #AlgorandNFTs  #AB2_Galleryfamily last offer 20 is algo I am waiting for your help and support for this great NFT that wants to increase https://t.co/fx0WuipRyF',2022-07-06 13:25:55+00:00,3,0,3,0,genadroptweets_1_AlgorandNFTs_2.csv
28,1526424088440283136,madvampireverse,136,149,"MadVampire is a collection of Cute & Adorable Vampires, they took the most known form to humans so they won't be scared of them.
#AlgoNFT #MadVampireVerse",Madvampireverse,"b'Project: MadVampire - Sorcerer Of Time1/1 unique hand-drawn""in Universe 969 MadVampire was born as the guardian of time, hence becoming a Sorcerer Of Time.""Only On @_DartroomClaim it yours! https://t.co/VG5EwvLRo8#AlgoNFTs #AlgorandNFTs #algofam #nftindonesia https://t.co/LTbzFjvoEJ'",2022-07-06 13:08:37+00:00,3,0,7,0,genadroptweets_1_AlgorandNFTs_2.csv
29,1473574273616855041,SapienUnreal,120,11,"EXPECT.
Turn on notifications🔔",Algorand,b'.Follow - RT - Like#Algorand #AlgoNFT #AlgorandNFTs #NFTs #unrealsapiens https://t.co/ffqgOvvfqY',2022-07-06 10:29:17+00:00,10,3,22,0,genadroptweets_1_AlgorandNFTs_2.csv
30,1481436928583290881,STTMoon,1494,8151,"Sing To The Moon : https://t.co/RPNe2rJE01

Inner Peace Society : https://t.co/ygsjJeSq0k

#NFT #AlgoFam",Indonesia,b'GM FAM! A new peace seeker added to Inner Peace Society collectionon @_DartroomFetus | IPS#32 https://t.co/pkJZsnH7AVCOLLECT NOW!#algofam #algofamindo #AlgorandNFTs https://t.co/nGKowqb36Y',2022-07-06 08:06:45+00:00,14,1,17,0,genadroptweets_1_AlgorandNFTs_2.csv
31,1504243471808286720,80sBabyNFT,155,555,"NFT collection created by @airforcetuanNFT, a vibrant homage to vintage anime aesthetic and the 80's ! Giveaways soon ! Algorand blockchain 💗 #ALGO #Dartroom","Tokyo-to, Japan",b'The shopping addicts are available on @RandGallery secondary market!@80sBabyNFT #0301/1850 $ALGOhttps://t.co/Hl2JBNzH1C#algofam #algorand #algonft #algonfts #algorandnfts #nftanime #animenft https://t.co/bHxodlEd9q',2022-07-06 06:57:33+00:00,3,0,11,1,genadroptweets_1_AlgorandNFTs_2.csv
32,1468313663366909966,Monkeys101582,954,2603,https://t.co/z6ES0WVw4q…,,b'Hello #algofam first bid 20 algo auction continues this is for great Nft#algofam #Algorand #AlgorandNFTs https://t.co/fx0WuipRyF',2022-07-06 06:05:43+00:00,1,0,1,0,genadroptweets_1_AlgorandNFTs_2.csv
